web-scraper-order,web-scraper-start-url,Haus,Haus-href,ScoutID,Kaufspreis,Zimmer,Maklerprovision,Grunderwerbssteuer,Notarkosten,Grundbucheintrag,Baujahr,Adresse,Wohnflache,Grundstuck
1617892511-240,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",Bauen auf einer Ebene!!!!! Bungalow des Jahres!!!!!,https://www.immobilienscout24.de/expose/110402810,110402810,235.429,4,null,15.302,3.531,1.177,2019,"15345 Eggersdorf, Petershagen/Eggersdorf",136 m²,617 m²
1617892461-228,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=2",*Schlüsselfertige Doppelhaushälfte! In absoluter TOP-Wohnlage! Im Speckgürtel von Berlin!,https://www.immobilienscout24.de/expose/120515584,120515584,399.000,4,14.244,25.935,5.985,1.995,2021,"16515 Oranienburg, Oberhavel (Kreis)",120 m²,272 m²
1617892548-250,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",NEUWOHNHAUS MIT 112.45m² WOHNFLÄCHE,https://www.immobilienscout24.de/expose/127464123,127464123,337.000,4,null,21.905,5.055,1.685,2011,"15831 Blankenfelde-Mahlow, Teltow-Fläming (Kreis)","112,45 m²",1.053 m²
1617892519-242,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",Wie lange wollen sie noch Miete bezahlen??? Ergreifen Sie die Gelegenheit!!!,https://www.immobilienscout24.de/expose/111242418,111242418,342.000,5,null,22.230,5.130,1.710,null,"15834 Rangsdorf, Teltow-Fläming (Kreis)",160 m²,623 m²
1617892537-247,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",NEUIhre Doppelhaushälfte Stadtvilla Berlin 110 in beliebter Lage in Bernau OT Lindow,https://www.immobilienscout24.de/expose/127489574,127489574,313.000,4,22.348,20.345,4.695,1.565,null,"16321 Bernau, Bernau bei Berlin",110 m²,340 m²
1617892508-239,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",NEUWOHNHAUS MIT 140m² WOHNFLÄCHE,https://www.immobilienscout24.de/expose/127462905,127462905,76.500,4,null,4.972,1.147,382,null,"15749 Mittenwalde, Dahme-Spreewald (Kreis)",140 m²,3.841 m²
1617892456-227,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=2",*Schlüsselfertige Doppelhaushälfte im Speckgürtel von Berlin! In absoluter TOP-Wohnlage!,https://www.immobilienscout24.de/expose/120515568,120515568,399.000,4,14.244,25.935,5.985,1.995,2021,"16515 Oranienburg, Oberhavel (Kreis)",121 m²,287 m²
1617892540-248,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1","Hier ist Ihr Eigenheim! Hell, modern und freundlich!",https://www.immobilienscout24.de/expose/126721053,126721053,335.000,4,null,21.775,5.025,1.675,null,"16321 Rüdnitz, Bernau bei Berlin",137 m²,540 m²
1617892523-243,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",Ihr Town & Country Doppelhaus in WERNEUCHEN,https://www.immobilienscout24.de/expose/126760514,126760514,376.310,4,26.868,24.460,5.644,1.881,null,"16356 Werneuchen, Barnim (Kreis)",114 m²,610 m²
1617892483-234,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=2",In der Natur aufatmen - modernes und entspanntes Wohnen mit Charme,https://www.immobilienscout24.de/expose/126890248,126890248,366.798,4,null,23.841,5.501,1.833,null,"14550 Groß Kreutz, Groß Kreutz (Havel)",143 m²,700 m²
1617892533-246,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1","Ein Traumhaus im Grünen, mit den NIEDRIGSTEN Zinsen am Markt finanziert!!!",https://www.immobilienscout24.de/expose/118787072,118787072,367.950,4,null,23.916,5.519,1.839,null,"16540 Hohen Neuendorf, Oberhavel (Kreis)",136 m²,420 m²
1617892562-254,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",NEUDoppelhaushälte im begehrten Friedersdorf ohne Käuferprovision,https://www.immobilienscout24.de/expose/127298586,127298586,369.000,4,13.173,23.985,5.535,1.845,2020,"15754 Friedersdorf, Heidesee",121 m²,409 m²
1617892526-244,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",Mehrfamilienhaus mit Einliegerwohnung inkl. Gratis Garage ! Jetzt kostenlos beraten !,https://www.immobilienscout24.de/expose/118135395,118135395,369.360,7,null,24.008,5.540,1.846,null,"15537 Gosen, Gosen-Neu Zittau",236 m²,644 m²
1617892472-231,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=2",Traumhaus bauen? - Was Sie brauchen ist Mut und uns als starken Partner!,https://www.immobilienscout24.de/expose/124268047,124268047,399.998,5,null,25.999,5.999,1.999,unbekannt,"16775 Löwenberger Land, Oberhavel (Kreis)","193,39 m²",735 m²
1617892453-226,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=2","NEUAttraktives 5-Zimmer-Einfamilienhaus in Oberkrämer, Oberkrämer",https://www.immobilienscout24.de/expose/127246276,127246276,260.000,5,null,16.900,3.900,1.300,unbekannt,"16727 Oberkrämer, Oberhavel (Kreis)",110 m²,640 m²
1617892490-236,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=2",Fertig projektiertes Eigenheim in Melchow,https://www.immobilienscout24.de/expose/81700704,81700704,316.760,4,22.616,20.589,4.751,1.583,unbekannt,"16230 Melchow, Barnim (Kreis)",125 m²,650 m²
1617892504-238,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",Nachhaltig bauen schont Umwelt und Budget das schaffe wir mit massahaus,https://www.immobilienscout24.de/expose/114088826,114088826,332.608,4,null,21.619,4.989,1.663,null,"16515 Oranienburg, Oberhavel (Kreis)",134 m²,500 m²
1617892468-230,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=2",NEUNeubau: Modernes Leben und Wohnen im Grünen – Ihr Grundstück und Haus mit klassischer Architektur,https://www.immobilienscout24.de/expose/127130574,127130574,319.900,4,null,20.793,4.798,1.599,2021,"14943 Luckenwalde, Teltow-Fläming (Kreis)",119 m²,304 m²
1617892530-245,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",2 Wohnungen unter einem Dach in Fredersdorf!,https://www.immobilienscout24.de/expose/114109365,114109365,358.189,4,null,23.282,5.372,1.790,null,"15370 Fredersdorf, Fredersdorf-Vogelsdorf",263 m²,930 m²
1617892464-229,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=2","""STEIN AUF STEIN; SO MUSS ES SEIN""...bauen mit dem Profi",https://www.immobilienscout24.de/expose/113533354,113533354,346.900,5,null,22.548,5.203,1.734,2020,"15370 Petershagen, Petershagen/Eggersdorf","142,02 m²",980 m²
1617892551-251,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1","NEUDer pure Luxus, mehr Haus geht kaum!",https://www.immobilienscout24.de/expose/127476032,127476032,382.500,5,null,24.862,5.737,1.912,null,"15831 Mahlow, Blankenfelde-Mahlow",234 m²,587 m²
1617892449-225,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=2",NEUNeubau: Modernes Leben und Wohnen im Grünen – Ihr Grundstück und Haus mit klassischer Architektur,https://www.immobilienscout24.de/expose/127129287,127129287,319.900,4,null,20.793,4.798,1.599,2021,"14943 Luckenwalde, Teltow-Fläming (Kreis)",119 m²,289 m²
1617892487-235,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=2",*VERKAUFT*Grundstück mit Bauvorbescheid mit Blick zum See !,https://www.immobilienscout24.de/expose/126338683,126338683,383.185,4,27.359,24.907,5.747,1.915,2021,"15754 Heidesee, Dahme-Spreewald (Kreis)",110 m²,899 m²
1617892515-241,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",Provisionsfrei für den Käufer…Zentrumsnah und doch eine grüne Oase,https://www.immobilienscout24.de/expose/126335045,126335045,279.000,6,null,18.135,4.185,1.395,null,"16356 Werneuchen, Barnim (Kreis)",120 m²,835 m²
1617892544-249,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",Mit Ihren Liebsten unter einem Dach,https://www.immobilienscout24.de/expose/126333671,126333671,370.000,6,null,24.050,5.550,1.850,null,"15566 Schöneiche bei Berlin, Oder-Spree (Kreis)",202 m²,640 m²
1617892476-232,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=2",NEUHIGHTECH IN TOP LAGE,https://www.immobilienscout24.de/expose/127262327,127262327,299.000,4,8.910,19.435,4.485,1.495,null,"16269 Wriezen, Märkisch-Oderland (Kreis)",113 m²,756 m²
1617892501-237,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",allkauf: Ihr Haus zum Leben * Life 1,https://www.immobilienscout24.de/expose/112235836,112235836,344.209,4,null,22.373,5.163,1.721,null,"15711 Zeesen, Königs Wusterhausen",125 m²,600 m²
1617892558-253,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",Erfüllen Sie sich Ihren Traum vom Eigenheim und fühlen Sie sich endlich wie zu Hause!!!,https://www.immobilienscout24.de/expose/125820808,125820808,397.589,4,null,25.843,5.963,1.987,null,"16356 Ahrensfelde, Barnim (Kreis)","137,83 m²",560 m²
1617892570-256,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",NEUBAU! Ihr Haus zum Festpreis! inkl. Grundstück im Grünen! Provisionsfrei!,https://www.immobilienscout24.de/expose/115171068,115171068,288.000,5,null,18.720,4.320,1.440,2020,"15537 Freienbrink, Grünheide (Mark)",124 m²,500 m²
1617892480-233,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=2",NEUNeubau Doppelhaushälfte in Eberswalde.,https://www.immobilienscout24.de/expose/127377057,127377057,335.000,4,23.919,21.775,5.025,1.675,null,"16227 Eberswalde, Barnim (Kreis)",122 m²,320 m²
1617892566-255,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",geplante Reihen- & Doppelhausbebauung in Wandlitz Klosterfelde,https://www.immobilienscout24.de/expose/126046931,126046931,345.260,5,null,22.441,5.178,1.726,2021,"16348 Wandlitz, Barnim (Kreis)",128 m²,260 m²
1617892555-252,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",Ohne Eigenkapital in die Eigenen vier Wände ???,https://www.immobilienscout24.de/expose/78552179,78552179,370.000,5,null,24.050,5.550,1.850,unbekannt,"16356 Ahrensfelde, Barnim (Kreis)",186 m²,545 m²
